zipcode,total_pop_2019,college_pop_2019,college_percent_2019,    Population 18 to 24 years,        Bachelor's degree or higher,    Population 25 years and over,        Bachelor's degree or higher,    Population 25 to 34 years,        Bachelor's degree or higher,    Population 35 to 44 years,        Bachelor's degree or higher,    Population 45 to 64 years,        Bachelor's degree or higher,    Population 65 years and over,        Bachelor's degree or higher
60551,8660.00,662.00,0.08,604.00,26.00,4028.00,318.00,1121.00,63.00,791.00,53.00,1512.00,103.00,604.00,99.00
60552,6443.00,1444.00,0.22,321.00,0.00,3061.00,722.00,425.00,76.00,618.00,165.00,1444.00,365.00,574.00,116.00
60553,1061.00,240.00,0.23,33.00,0.00,514.00,120.00,83.00,17.00,80.00,27.00,230.00,46.00,121.00,30.00
60554,18327.00,7470.00,0.41,1255.00,262.00,8536.00,3604.00,815.00,483.00,1547.00,709.00,4061.00,1593.00,2113.00,819.00
60555,19335.00,8579.00,0.44,1403.00,321.00,8966.00,4129.00,1723.00,953.00,1791.00,794.00,3711.00,1725.00,1741.00,657.00
60556,2868.00,733.00,0.26,204.00,35.00,1332.00,349.00,179.00,61.00,365.00,82.00,538.00,142.00,250.00,64.00
60557,528.00,62.00,0.12,32.00,0.00,248.00,31.00,31.00,0.00,31.00,31.00,121.00,0.00,65.00,0.00
60558,17353.00,13291.00,0.77,541.00,185.00,8406.00,6553.00,734.00,554.00,1609.00,1457.00,3956.00,3307.00,2107.00,1235.00
60559,36803.00,15811.00,0.43,1883.00,323.00,17460.00,7744.00,3869.00,1858.00,2987.00,1615.00,6672.00,2944.00,3932.00,1327.00
60560,34493.00,10954.00,0.32,1725.00,220.00,16384.00,5367.00,3345.00,884.00,4560.00,1976.00,5626.00,2039.00,2853.00,468.00
60561,35774.00,17749.00,0.50,1688.00,333.00,17043.00,8708.00,2616.00,1592.00,2785.00,1498.00,6794.00,3808.00,4848.00,1810.00
60563,55747.00,32794.00,0.59,2959.00,852.00,26394.00,15971.00,6211.00,4283.00,5377.00,3868.00,9553.00,5771.00,5253.00,2049.00
60564,57454.00,39592.00,0.69,3288.00,888.00,27083.00,19352.00,3326.00,2171.00,6449.00,5589.00,13458.00,9819.00,3850.00,1773.00
60565,56866.00,38287.00,0.67,3048.00,871.00,26909.00,18708.00,3392.00,2521.00,5520.00,4294.00,12776.00,9001.00,5221.00,2892.00
60585,29979.00,17679.00,0.59,1467.00,385.00,14256.00,8647.00,1925.00,1088.00,3982.00,2823.00,6756.00,4110.00,1593.00,626.00
60586,62164.00,18816.00,0.30,4992.00,498.00,28586.00,9159.00,6194.00,2307.00,7177.00,2464.00,12008.00,3658.00,3207.00,730.00
60601,26230.00,21910.00,0.84,2176.00,976.00,12027.00,10467.00,4867.00,4529.00,1933.00,1711.00,3118.00,2750.00,2109.00,1477.00
60602,1903.00,1789.00,0.94,89.00,67.00,907.00,861.00,403.00,378.00,377.00,377.00,121.00,106.00,6.00,0.00
60603,1743.00,1421.00,0.82,329.00,75.00,707.00,673.00,267.00,267.00,51.00,51.00,269.00,235.00,120.00,120.00
60604,1376.00,1155.00,0.84,198.00,73.00,589.00,541.00,268.00,242.00,44.00,44.00,205.00,186.00,72.00,69.00
60605,49106.00,34798.00,0.71,4192.00,760.00,22457.00,17019.00,9027.00,7912.00,4166.00,3226.00,6341.00,4242.00,2923.00,1639.00
60606,6159.00,5713.00,0.93,177.00,145.00,2991.00,2784.00,1259.00,1242.00,492.00,454.00,862.00,765.00,378.00,323.00
60607,45917.00,32524.00,0.71,6387.00,1556.00,19765.00,15484.00,9142.00,7998.00,4584.00,4002.00,4495.00,2824.00,1544.00,660.00
60608,120151.00,33086.00,0.28,10343.00,1396.00,54904.00,15845.00,18495.00,8122.00,11277.00,3941.00,17193.00,3083.00,7939.00,699.00
60609,83594.00,11717.00,0.14,6738.00,553.00,38428.00,5582.00,9992.00,2268.00,7960.00,1462.00,13103.00,1372.00,7373.00,480.00
60610,69831.00,51493.00,0.74,3833.00,1497.00,32999.00,24998.00,14435.00,12638.00,4430.00,3588.00,7597.00,5071.00,6537.00,3701.00
60611,59786.00,50100.00,0.84,2950.00,1972.00,28418.00,24064.00,9257.00,8848.00,4154.00,3611.00,7865.00,6239.00,7142.00,5366.00
60612,47918.00,16429.00,0.34,3878.00,831.00,22020.00,7799.00,6852.00,3921.00,4932.00,2036.00,6911.00,1549.00,3325.00,293.00
60613,84161.00,63088.00,0.75,5591.00,3814.00,39285.00,29637.00,15959.00,13616.00,8581.00,6611.00,9841.00,6974.00,4904.00,2436.00
60614,113401.00,92387.00,0.81,10277.00,5035.00,51562.00,43676.00,23562.00,21860.00,8868.00,7853.00,12403.00,9968.00,6729.00,3995.00
60615,63066.00,36261.00,0.57,5676.00,1743.00,28695.00,17259.00,8191.00,5965.00,5238.00,3413.00,8855.00,4486.00,6411.00,3395.00
60616,87345.00,39078.00,0.45,5391.00,1846.00,40977.00,18616.00,11619.00,8245.00,6981.00,4171.00,13741.00,4581.00,8636.00,1619.00
60617,114135.00,18629.00,0.16,8645.00,343.00,52745.00,9143.00,10295.00,1665.00,9603.00,2127.00,20269.00,3417.00,12578.00,1934.00
60618,141542.00,66325.00,0.47,6948.00,1313.00,67297.00,32506.00,20978.00,12853.00,17100.00,9388.00,20520.00,8097.00,8699.00,2168.00
60619,92007.00,21335.00,0.23,4933.00,575.00,43537.00,10380.00,8846.00,1930.00,6627.00,1997.00,17606.00,4221.00,10458.00,2232.00
60620,98413.00,15509.00,0.16,6291.00,315.00,46061.00,7597.00,8332.00,1241.00,7809.00,1770.00,17945.00,3283.00,11975.00,1303.00
60621,38419.00,3747.00,0.10,2605.00,95.00,17907.00,1826.00,4040.00,406.00,2799.00,368.00,7099.00,681.00,3969.00,371.00
60622,87671.00,60061.00,0.69,3549.00,1865.00,42061.00,29098.00,20953.00,17314.00,9864.00,7039.00,7969.00,3957.00,3275.00,788.00
60623,106890.00,10682.00,0.10,8870.00,552.00,49010.00,5065.00,12287.00,1806.00,11160.00,1437.00,16918.00,1330.00,8645.00,492.00
60624,45806.00,4142.00,0.09,3600.00,128.00,21103.00,2007.00,4935.00,478.00,4456.00,655.00,7674.00,626.00,4038.00,248.00
60625,120085.00,57528.00,0.48,6807.00,1256.00,56639.00,28136.00,17133.00,9916.00,14071.00,7955.00,17378.00,7507.00,8057.00,2758.00
60626,76312.00,33534.00,0.44,6878.00,1432.00,34717.00,16051.00,10465.00,6021.00,7506.00,3678.00,11789.00,4551.00,4957.00,1801.00
60628,93106.00,17120.00,0.18,6438.00,286.00,43334.00,8417.00,8365.00,1323.00,7309.00,1703.00,16614.00,3432.00,11046.00,1959.00
60629,144706.00,13486.00,0.09,12042.00,542.00,66332.00,6472.00,17183.00,2244.00,14369.00,1566.00,23187.00,1926.00,11593.00,736.00
60630,86410.00,32088.00,0.37,3924.00,394.00,41243.00,15847.00,7925.00,3998.00,8647.00,4053.00,15984.00,5651.00,8687.00,2145.00
60631,45820.00,19370.00,0.42,1510.00,480.00,22155.00,9445.00,3912.00,1957.00,4089.00,2568.00,8581.00,3421.00,5573.00,1499.00
60632,118628.00,12654.00,0.11,9338.00,670.00,54645.00,5992.00,14718.00,2536.00,12344.00,1491.00,18199.00,1400.00,9384.00,565.00
60633,18620.00,2578.00,0.14,1196.00,144.00,8712.00,1217.00,1508.00,279.00,1767.00,300.00,3348.00,512.00,2089.00,126.00
60634,111849.00,28594.00,0.26,5773.00,612.00,53038.00,13991.00,10463.00,3899.00,10418.00,3285.00,20712.00,4837.00,11445.00,1970.00
60636,43884.00,3751.00,0.09,2778.00,105.00,20553.00,1823.00,3437.00,334.00,3294.00,280.00,7501.00,795.00,6321.00,414.00
60637,64418.00,19657.00,0.31,7954.00,685.00,28232.00,9486.00,7331.00,2630.00,5201.00,1697.00,10112.00,3247.00,5588.00,1912.00
60638,83977.00,17083.00,0.20,4271.00,561.00,39853.00,8261.00,7783.00,2131.00,8590.00,2454.00,15240.00,2617.00,8240.00,1059.00
60639,120873.00,14734.00,0.12,9463.00,572.00,55705.00,7081.00,12891.00,2326.00,13224.00,1719.00,20892.00,2290.00,8698.00,746.00
60640,115527.00,65690.00,0.57,5103.00,2162.00,55212.00,31764.00,17783.00,12714.00,11598.00,7533.00,16512.00,7665.00,9319.00,3852.00
60641,103356.00,30363.00,0.29,5564.00,687.00,48896.00,14838.00,11645.00,4722.00,10589.00,3824.00,18541.00,4792.00,8121.00,1500.00
60642,34579.00,25313.00,0.73,1175.00,629.00,16702.00,12342.00,9270.00,7992.00,3168.00,2499.00,3089.00,1572.00,1175.00,279.00
60643,72389.00,26126.00,0.36,3725.00,488.00,34332.00,12819.00,5074.00,2046.00,5601.00,2431.00,14488.00,5612.00,9169.00,2730.00
60644,64560.00,7342.00,0.11,4414.00,274.00,30073.00,3534.00,6685.00,755.00,5788.00,988.00,11130.00,1395.00,6470.00,396.00
60645,65721.00,28092.00,0.43,3217.00,366.00,31252.00,13863.00,7252.00,3581.00,6424.00,2764.00,11231.00,4505.00,6345.00,3013.00
60646,42607.00,20758.00,0.49,1517.00,226.00,20545.00,10266.00,3453.00,1810.00,3460.00,2096.00,7718.00,3989.00,5914.00,2371.00
60647,135519.00,71735.00,0.53,7963.00,2579.00,63778.00,34578.00,26828.00,19491.00,14792.00,8618.00,15843.00,5338.00,6315.00,1131.00
60649,68369.00,16551.00,0.24,4099.00,211.00,32135.00,8170.00,6903.00,1479.00,6786.00,2345.00,11723.00,2696.00,6723.00,1650.00
60651,86399.00,11461.00,0.13,6431.00,475.00,39984.00,5493.00,9649.00,2144.00,8429.00,1051.00,14406.00,1692.00,7500.00,606.00
60652,59667.00,12013.00,0.20,4507.00,309.00,27580.00,5852.00,5175.00,999.00,5835.00,1259.00,11509.00,2963.00,5061.00,631.00
60653,45309.00,15016.00,0.33,2675.00,316.00,21317.00,7350.00,5077.00,2059.00,4197.00,1811.00,7804.00,2606.00,4239.00,874.00
60654,35927.00,31209.00,0.87,1191.00,791.00,17368.00,15209.00,8387.00,8056.00,3523.00,3231.00,4128.00,2971.00,1330.00,951.00
60655,40624.00,17645.00,0.43,2464.00,379.00,19080.00,8633.00,3218.00,1981.00,3984.00,2472.00,8230.00,3326.00,3648.00,854.00
60656,44521.00,17237.00,0.39,1433.00,357.00,21544.00,8440.00,5099.00,2911.00,4104.00,2190.00,7373.00,2323.00,4968.00,1016.00
60657,115237.00,94421.00,0.82,8777.00,6107.00,53230.00,44157.00,25367.00,22875.00,10206.00,8638.00,11955.00,9134.00,5702.00,3510.00
60659,59334.00,19782.00,0.33,3700.00,554.00,27817.00,9614.00,6596.00,2098.00,6109.00,2347.00,10009.00,3336.00,5103.00,1833.00
60660,72749.00,36606.00,0.50,5525.00,1154.00,33612.00,17726.00,10336.00,6786.00,6439.00,3573.00,10895.00,5148.00,5942.00,2219.00
60661,17993.00,16012.00,0.89,881.00,554.00,8556.00,7729.00,4673.00,4452.00,2310.00,2124.00,1241.00,961.00,332.00,192.00
60706,36615.00,9743.00,0.27,1689.00,279.00,17463.00,4732.00,2620.00,1222.00,2940.00,1073.00,6785.00,1750.00,5118.00,687.00
60707,64189.00,16562.00,0.26,4033.00,388.00,30078.00,8087.00,5457.00,2082.00,5840.00,1726.00,11802.00,3142.00,6979.00,1137.00
60712,18781.00,9836.00,0.52,735.00,160.00,9023.00,4838.00,1175.00,764.00,1433.00,778.00,3277.00,1721.00,3138.00,1575.00
60714,47355.00,16498.00,0.35,2145.00,284.00,22605.00,8107.00,3665.00,1813.00,3155.00,1613.00,8371.00,2858.00,7414.00,1823.00
60803,32103.00,6962.00,0.22,1791.00,176.00,15156.00,3393.00,3073.00,902.00,3314.00,1085.00,5542.00,1024.00,3227.00,382.00
60804,106935.00,9269.00,0.09,10461.00,537.00,48237.00,4366.00,12044.00,1643.00,11908.00,887.00,17732.00,1296.00,6553.00,540.00
60805,27960.00,9133.00,0.33,1674.00,163.00,13143.00,4485.00,2429.00,854.00,2353.00,929.00,5687.00,2045.00,2674.00,657.00
60827,37572.00,4697.00,0.13,2936.00,37.00,17318.00,2330.00,4060.00,576.00,3481.00,571.00,6918.00,790.00,2859.00,393.00
60901,50252.00,7522.00,0.15,3158.00,120.00,23547.00,3701.00,4730.00,757.00,4633.00,619.00,8730.00,1398.00,5454.00,927.00
60910,885.00,59.00,0.07,49.00,3.00,418.00,28.00,102.00,7.00,41.00,5.00,174.00,7.00,101.00,9.00
60911,1883.00,314.00,0.17,89.00,2.00,897.00,156.00,125.00,44.00,171.00,17.00,368.00,70.00,233.00,25.00
60912,780.00,68.00,0.09,26.00,0.00,377.00,34.00,63.00,3.00,52.00,0.00,131.00,16.00,131.00,15.00
60913,2398.00,403.00,0.17,110.00,15.00,1144.00,194.00,103.00,11.00,124.00,23.00,511.00,82.00,406.00,78.00
60914,41741.00,12657.00,0.30,5099.00,361.00,18321.00,6148.00,3648.00,1666.00,3195.00,1240.00,7471.00,2323.00,4007.00,919.00
60915,14554.00,1839.00,0.13,1100.00,129.00,6727.00,855.00,1559.00,400.00,1031.00,110.00,2412.00,244.00,1725.00,101.00
60917,768.00,158.00,0.21,30.00,0.00,369.00,79.00,60.00,26.00,91.00,53.00,146.00,0.00,72.00,0.00
60918,1193.00,158.00,0.13,31.00,0.00,581.00,79.00,73.00,11.00,93.00,17.00,251.00,23.00,164.00,28.00
60919,754.00,252.00,0.33,30.00,4.00,362.00,124.00,60.00,31.00,42.00,7.00,145.00,60.00,115.00,26.00
60920,268.00,30.00,0.11,2.00,0.00,133.00,15.00,16.00,2.00,31.00,2.00,49.00,8.00,37.00,3.00
60921,2147.00,206.00,0.10,157.00,4.00,995.00,101.00,187.00,29.00,106.00,19.00,409.00,26.00,293.00,27.00
60922,3442.00,547.00,0.16,242.00,9.00,1600.00,269.00,442.00,115.00,273.00,60.00,620.00,71.00,265.00,23.00
60924,2279.00,573.00,0.25,83.00,3.00,1098.00,285.00,144.00,36.00,164.00,53.00,373.00,101.00,417.00,95.00
60926,84.00,20.00,0.24,0.00,0.00,42.00,10.00,11.00,0.00,4.00,2.00,12.00,5.00,15.00,3.00
60927,3112.00,588.00,0.19,116.00,10.00,1498.00,289.00,170.00,52.00,239.00,55.00,583.00,113.00,506.00,69.00
60928,1065.00,215.00,0.20,63.00,3.00,501.00,106.00,98.00,26.00,49.00,15.00,181.00,45.00,173.00,20.00
60929,1015.00,134.00,0.13,67.00,14.00,474.00,60.00,119.00,14.00,51.00,13.00,180.00,19.00,124.00,14.00
60930,1397.00,232.00,0.17,45.00,0.00,676.00,116.00,103.00,4.00,163.00,48.00,156.00,36.00,254.00,28.00
60931,804.00,104.00,0.13,36.00,2.00,384.00,51.00,79.00,11.00,49.00,14.00,170.00,15.00,86.00,11.00
60932,96.00,0.00,0.00,0.00,0.00,48.00,0.00,8.00,0.00,0.00,0.00,40.00,0.00,0.00,0.00
60933,420.00,36.00,0.09,28.00,0.00,196.00,18.00,32.00,3.00,25.00,0.00,62.00,11.00,77.00,4.00
60934,362.00,40.00,0.11,22.00,0.00,170.00,20.00,25.00,4.00,37.00,0.00,46.00,12.00,62.00,4.00
60935,1680.00,164.00,0.10,90.00,0.00,795.00,82.00,131.00,14.00,212.00,25.00,295.00,41.00,157.00,2.00
60936,6126.00,1649.00,0.27,250.00,31.00,2938.00,809.00,437.00,113.00,542.00,163.00,1161.00,331.00,798.00,202.00
60938,2903.00,406.00,0.14,173.00,10.00,1365.00,198.00,226.00,40.00,240.00,41.00,451.00,50.00,448.00,67.00
60940,4925.00,875.00,0.18,221.00,9.00,2352.00,433.00,299.00,57.00,404.00,101.00,1081.00,228.00,568.00,47.00
60941,3012.00,749.00,0.25,190.00,23.00,1411.00,363.00,141.00,68.00,391.00,69.00,439.00,119.00,440.00,107.00
60942,8662.00,1193.00,0.14,406.00,15.00,4128.00,589.00,679.00,94.00,512.00,43.00,1664.00,349.00,1273.00,103.00
60945,263.00,32.00,0.12,9.00,0.00,127.00,16.00,12.00,1.00,19.00,6.00,48.00,4.00,48.00,5.00
60946,580.00,48.00,0.08,28.00,0.00,276.00,24.00,39.00,4.00,74.00,0.00,102.00,7.00,61.00,13.00
60948,2267.00,759.00,0.33,183.00,29.00,1042.00,365.00,102.00,3.00,111.00,52.00,477.00,179.00,352.00,131.00
60949,732.00,86.00,0.12,84.00,0.00,324.00,43.00,49.00,9.00,75.00,8.00,136.00,8.00,64.00,18.00
60950,17134.00,3637.00,0.21,952.00,93.00,8091.00,1772.00,1154.00,420.00,1237.00,438.00,3223.00,649.00,2477.00,265.00
60951,1196.00,84.00,0.07,42.00,2.00,577.00,41.00,143.00,6.00,40.00,4.00,290.00,25.00,104.00,6.00
60952,887.00,198.00,0.22,43.00,0.00,422.00,99.00,75.00,16.00,73.00,16.00,184.00,41.00,90.00,26.00
60953,3472.00,495.00,0.14,166.00,7.00,1653.00,244.00,160.00,24.00,272.00,54.00,751.00,108.00,470.00,58.00
60954,8306.00,765.00,0.09,452.00,9.00,3927.00,378.00,684.00,142.00,645.00,46.00,1607.00,83.00,991.00,107.00
60955,2360.00,324.00,0.14,136.00,28.00,1112.00,148.00,178.00,23.00,183.00,34.00,439.00,35.00,312.00,56.00
60957,7641.00,1620.00,0.21,391.00,14.00,3625.00,803.00,623.00,191.00,575.00,159.00,1464.00,388.00,963.00,65.00
60958,2558.00,390.00,0.15,106.00,0.00,1226.00,195.00,226.00,22.00,170.00,74.00,438.00,68.00,392.00,31.00
60959,1713.00,96.00,0.06,93.00,0.00,810.00,48.00,119.00,14.00,70.00,5.00,431.00,24.00,190.00,5.00
60960,1452.00,161.00,0.11,112.00,13.00,670.00,74.00,59.00,10.00,163.00,11.00,259.00,24.00,189.00,29.00
60961,1071.00,179.00,0.17,45.00,1.00,513.00,89.00,47.00,25.00,141.00,39.00,170.00,5.00,155.00,20.00
60962,716.00,96.00,0.13,66.00,0.00,325.00,48.00,50.00,7.00,70.00,6.00,146.00,18.00,59.00,17.00
60963,2387.00,358.00,0.15,163.00,4.00,1112.00,177.00,190.00,28.00,196.00,27.00,412.00,83.00,314.00,39.00
60964,7099.00,1482.00,0.21,465.00,48.00,3317.00,717.00,453.00,154.00,606.00,174.00,1300.00,229.00,958.00,160.00
60966,2372.00,238.00,0.10,98.00,0.00,1137.00,119.00,153.00,23.00,193.00,5.00,535.00,63.00,256.00,28.00
60968,612.00,207.00,0.34,24.00,9.00,294.00,99.00,29.00,2.00,55.00,14.00,129.00,63.00,81.00,20.00
60969,85.00,4.00,0.05,9.00,2.00,38.00,1.00,14.00,0.00,13.00,1.00,5.00,0.00,6.00,0.00
60970,10628.00,1165.00,0.11,582.00,69.00,5023.00,548.00,634.00,62.00,762.00,82.00,2065.00,246.00,1562.00,158.00
60973,445.00,52.00,0.12,23.00,0.00,211.00,26.00,40.00,1.00,38.00,5.00,48.00,1.00,85.00,19.00
60974,342.00,8.00,0.02,6.00,0.00,168.00,4.00,18.00,0.00,26.00,0.00,69.00,4.00,55.00,0.00
61001,1695.00,352.00,0.21,127.00,2.00,784.00,175.00,59.00,5.00,74.00,19.00,383.00,67.00,268.00,84.00
61006,2734.00,347.00,0.13,84.00,5.00,1325.00,171.00,265.00,33.00,167.00,32.00,522.00,77.00,371.00,29.00
61007,726.00,144.00,0.20,28.00,0.00,349.00,72.00,42.00,15.00,65.00,22.00,119.00,26.00,123.00,9.00
61008,47903.00,9303.00,0.19,3083.00,157.00,22410.00,4573.00,3803.00,727.00,4133.00,943.00,8788.00,2092.00,5686.00,811.00
61010,10959.00,3275.00,0.30,599.00,33.00,5180.00,1621.00,838.00,289.00,1103.00,422.00,2230.00,732.00,1009.00,178.00
61011,4097.00,1794.00,0.44,159.00,56.00,1969.00,869.00,210.00,144.00,252.00,106.00,915.00,452.00,592.00,167.00
61012,3391.00,376.00,0.11,269.00,12.00,1561.00,182.00,306.00,41.00,357.00,57.00,648.00,70.00,250.00,14.00
61013,685.00,92.00,0.13,39.00,0.00,323.00,46.00,55.00,9.00,32.00,6.00,149.00,23.00,87.00,8.00
61014,1536.00,278.00,0.18,70.00,0.00,733.00,139.00,141.00,37.00,65.00,19.00,294.00,59.00,233.00,24.00
61015,1345.00,318.00,0.24,101.00,0.00,622.00,159.00,95.00,44.00,216.00,44.00,213.00,60.00,98.00,11.00
61016,7348.00,1836.00,0.25,242.00,42.00,3553.00,897.00,435.00,75.00,437.00,169.00,1618.00,501.00,1063.00,152.00
61018,1441.00,180.00,0.12,113.00,4.00,664.00,88.00,96.00,9.00,99.00,17.00,296.00,36.00,173.00,26.00
61019,5037.00,1395.00,0.28,201.00,29.00,2418.00,683.00,326.00,96.00,269.00,59.00,1018.00,306.00,805.00,222.00
61020,3826.00,757.00,0.20,286.00,29.00,1770.00,364.00,439.00,124.00,467.00,107.00,599.00,85.00,265.00,48.00
61021,35277.00,6716.00,0.19,1797.00,82.00,16740.00,3317.00,3001.00,639.00,3004.00,681.00,6612.00,1411.00,4123.00,586.00
61024,3702.00,665.00,0.18,196.00,3.00,1753.00,331.00,236.00,116.00,240.00,48.00,741.00,121.00,536.00,46.00
61025,6938.00,1331.00,0.19,444.00,33.00,3247.00,649.00,506.00,158.00,484.00,143.00,1274.00,233.00,983.00,115.00
61027,114.00,0.00,0.00,0.00,0.00,57.00,0.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
61028,3219.00,869.00,0.27,115.00,31.00,1552.00,419.00,196.00,80.00,208.00,72.00,613.00,132.00,535.00,135.00
61030,3122.00,332.00,0.11,68.00,0.00,1527.00,166.00,282.00,37.00,282.00,31.00,557.00,65.00,406.00,33.00
61031,2294.00,365.00,0.16,154.00,17.00,1070.00,174.00,120.00,15.00,210.00,71.00,374.00,45.00,366.00,43.00
61032,44178.00,8116.00,0.18,2420.00,128.00,20879.00,3994.00,3129.00,424.00,3068.00,717.00,8055.00,1647.00,6627.00,1206.00
61036,10570.00,3821.00,0.36,238.00,23.00,5166.00,1899.00,368.00,118.00,783.00,167.00,1833.00,633.00,2182.00,981.00
61037,128.00,34.00,0.27,0.00,0.00,64.00,17.00,0.00,0.00,0.00,0.00,19.00,0.00,45.00,17.00
61038,2006.00,386.00,0.19,238.00,78.00,884.00,154.00,65.00,14.00,75.00,0.00,436.00,113.00,308.00,27.00
61039,1239.00,220.00,0.18,89.00,6.00,575.00,107.00,130.00,43.00,119.00,26.00,185.00,13.00,141.00,25.00
61041,1743.00,258.00,0.15,71.00,0.00,836.00,129.00,162.00,8.00,97.00,35.00,246.00,25.00,331.00,61.00
61042,996.00,115.00,0.12,38.00,15.00,479.00,50.00,123.00,20.00,44.00,13.00,189.00,11.00,123.00,6.00
61043,169.00,16.00,0.09,23.00,0.00,73.00,8.00,17.00,6.00,12.00,0.00,20.00,0.00,24.00,2.00
61044,362.00,72.00,0.20,0.00,0.00,181.00,36.00,27.00,23.00,51.00,10.00,79.00,3.00,24.00,0.00
61046,3560.00,774.00,0.22,138.00,0.00,1711.00,387.00,153.00,45.00,231.00,64.00,669.00,159.00,658.00,119.00
61047,2476.00,434.00,0.18,100.00,0.00,1188.00,217.00,147.00,30.00,151.00,26.00,562.00,129.00,328.00,32.00
61048,5966.00,1272.00,0.21,162.00,0.00,2902.00,636.00,299.00,103.00,413.00,108.00,1084.00,237.00,1106.00,188.00
61049,723.00,165.00,0.23,39.00,9.00,342.00,78.00,61.00,15.00,45.00,18.00,147.00,38.00,89.00,7.00
61050,678.00,120.00,0.18,30.00,0.00,324.00,60.00,28.00,10.00,39.00,10.00,143.00,24.00,114.00,16.00
61051,2294.00,398.00,0.17,170.00,44.00,1062.00,177.00,110.00,41.00,199.00,23.00,470.00,79.00,283.00,34.00
61052,1408.00,266.00,0.19,40.00,4.00,684.00,131.00,71.00,14.00,83.00,11.00,301.00,89.00,229.00,17.00
61053,4226.00,1165.00,0.28,190.00,35.00,2018.00,565.00,262.00,97.00,257.00,89.00,780.00,162.00,719.00,217.00
61054,5645.00,1376.00,0.24,269.00,0.00,2688.00,688.00,487.00,103.00,294.00,50.00,1046.00,296.00,861.00,239.00
61057,142.00,40.00,0.28,6.00,0.00,68.00,20.00,8.00,0.00,10.00,10.00,28.00,0.00,22.00,10.00
61059,267.00,56.00,0.21,17.00,0.00,125.00,28.00,36.00,12.00,17.00,0.00,53.00,16.00,19.00,0.00
61060,2137.00,412.00,0.19,113.00,0.00,1012.00,206.00,156.00,47.00,165.00,38.00,453.00,94.00,238.00,27.00
61061,10365.00,1994.00,0.19,367.00,18.00,4999.00,988.00,525.00,142.00,678.00,150.00,2081.00,362.00,1715.00,334.00
61062,2750.00,613.00,0.22,92.00,13.00,1329.00,300.00,140.00,52.00,199.00,45.00,689.00,168.00,301.00,35.00
61063,6362.00,1335.00,0.21,406.00,7.00,2978.00,664.00,475.00,145.00,704.00,166.00,881.00,233.00,918.00,120.00
61064,5866.00,1003.00,0.17,274.00,23.00,2796.00,490.00,431.00,83.00,443.00,101.00,1130.00,163.00,792.00,143.00
61065,14396.00,3522.00,0.24,1044.00,62.00,6676.00,1730.00,1205.00,368.00,1563.00,631.00,2635.00,507.00,1273.00,224.00
61067,1247.00,144.00,0.12,41.00,0.00,603.00,72.00,35.00,2.00,74.00,25.00,303.00,27.00,191.00,18.00
61068,20475.00,3461.00,0.17,1457.00,107.00,9509.00,1677.00,1766.00,404.00,1802.00,330.00,3721.00,588.00,2220.00,355.00
61070,1848.00,265.00,0.14,102.00,3.00,873.00,131.00,108.00,18.00,160.00,30.00,393.00,56.00,212.00,27.00
61071,20267.00,2517.00,0.12,1151.00,51.00,9558.00,1233.00,1559.00,175.00,1487.00,305.00,3823.00,432.00,2689.00,321.00
61072,16700.00,4664.00,0.28,792.00,50.00,7954.00,2307.00,979.00,244.00,1612.00,499.00,3317.00,1113.00,2046.00,451.00
61073,27385.00,9391.00,0.34,1271.00,217.00,13057.00,4587.00,1996.00,892.00,2436.00,989.00,5760.00,1946.00,2865.00,760.00
61074,6789.00,1106.00,0.16,197.00,0.00,3296.00,553.00,423.00,42.00,516.00,123.00,1243.00,195.00,1114.00,193.00
61075,1503.00,299.00,0.20,67.00,11.00,718.00,144.00,96.00,16.00,69.00,18.00,274.00,50.00,279.00,60.00
61077,66.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00,0.00,0.00,33.00,0.00,0.00,0.00
61078,1867.00,300.00,0.16,145.00,10.00,861.00,145.00,104.00,13.00,130.00,38.00,362.00,66.00,265.00,28.00
61079,267.00,44.00,0.16,7.00,0.00,130.00,22.00,15.00,3.00,37.00,0.00,54.00,19.00,24.00,0.00
61080,14685.00,2555.00,0.17,735.00,41.00,6975.00,1257.00,1485.00,253.00,1329.00,426.00,2863.00,398.00,1298.00,180.00
61081,31053.00,5767.00,0.19,1717.00,97.00,14668.00,2835.00,2289.00,520.00,2711.00,504.00,5477.00,1174.00,4191.00,637.00
61084,4532.00,1246.00,0.27,142.00,0.00,2195.00,623.00,265.00,120.00,327.00,123.00,1027.00,255.00,576.00,125.00
61085,4943.00,803.00,0.16,171.00,13.00,2386.00,395.00,337.00,71.00,340.00,46.00,872.00,152.00,837.00,126.00
61087,2359.00,268.00,0.11,81.00,0.00,1139.00,134.00,149.00,42.00,141.00,38.00,480.00,27.00,369.00,27.00
61088,8937.00,2509.00,0.28,555.00,35.00,4191.00,1237.00,431.00,172.00,700.00,245.00,2143.00,599.00,917.00,221.00
61089,1155.00,273.00,0.24,13.00,1.00,571.00,136.00,146.00,53.00,91.00,39.00,212.00,19.00,122.00,25.00
61091,106.00,0.00,0.00,28.00,0.00,39.00,0.00,23.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00
61101,26225.00,2522.00,0.10,1593.00,24.00,12316.00,1249.00,2785.00,256.00,2173.00,234.00,4855.00,460.00,2503.00,299.00
