zipcode,total_pop,college_pop,college_percent,Population 18 to 24 years,    Bachelor's degree or higher,Population 25 years and over,    Bachelor's degree,    Graduate or professional degree,Population 25 to 34 years,    Bachelor's degree or higher,Population 35 to 44 years,    Bachelor's degree or higher,Population 45 to 64 years,    Bachelor's degree or higher,Population 65 years and over,    Bachelor's degree or higher
62966,"22,519","5,365",0.238243261,"1,389",141,"10,565","1,628",984,"2,005",369,"1,576",458,"4,312","1,236","2,672",549
62967,464,34,0.073275862,10,0,227,17,0,27,2,40,0,83,13,77,2
62969,804,52,0.064676617,8,0,398,26,0,45,0,47,0,136,13,170,13
62970,962,108,0.112266112,92,0,435,52,2,52,8,63,22,212,13,108,11
62972,"1,642",240,0.146163216,88,10,777,115,0,67,29,82,7,388,53,240,26
62974,"2,170",102,0.047004608,120,4,"1,025",32,17,121,4,115,5,524,38,265,2
62975,522,90,0.172413793,30,0,246,37,8,60,18,61,11,77,0,48,16
62976,681,104,0.152716593,17,2,332,50,1,41,13,47,8,148,24,96,6
62977,907,126,0.138919515,41,0,433,43,20,47,9,87,12,187,26,112,16
62979,"1,841",198,0.107550244,99,0,871,52,47,124,33,83,15,439,26,225,25
62982,"1,569",130,0.082855322,69,0,750,40,25,132,25,144,11,296,25,178,4
62983,"2,192",279,0.127281022,156,19,"1,018",101,29,133,11,183,18,428,70,274,31
62984,"2,800",240,0.085714286,122,0,"1,339",105,15,224,25,283,52,435,29,397,14
62985,"1,404",248,0.176638177,42,0,681,109,15,122,32,18,4,348,63,193,25
62987,"1,741",106,0.060884549,225,0,758,34,19,136,3,115,0,309,25,198,25
62988,"2,750",162,0.058909091,190,0,"1,280",37,44,318,22,205,8,543,39,214,12
62990,"1,086",100,0.092081031,62,0,512,41,9,85,4,40,7,216,23,171,16
62992,"1,161",182,0.156761413,87,0,537,69,22,35,4,78,5,226,66,198,16
62994,910,132,0.145054945,12,0,449,40,26,44,13,108,10,207,41,90,2
62995,"9,261","1,123",0.121261203,701,3,"4,280",433,127,967,90,836,91,"1,651",276,826,103
62996,684,66,0.096491228,26,0,329,4,29,22,11,84,0,138,7,85,15
62997,638,10,0.015673981,38,0,300,5,0,63,1,39,0,133,4,65,0
62998,473,12,0.025369979,9,0,232,6,0,0,0,28,0,122,0,82,6
62999,"2,501",261,0.104358257,193,3,"1,154",117,12,187,25,243,24,388,41,336,39
63673,"3,251",236,0.072593048,227,0,"1,512",52,66,198,4,272,36,646,31,396,47
