X,Y,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,POPULATION,COUNTY,COUNTYFIPS,LATITUDE,LONGITUDE,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,FT_TEACHER
-87.6886933,41.89715017,85486,1.70993E+11,CHOPIN ELEM SCHOOL,2450 W RICE ST,CHICAGO,IL,60622,4612,572,COOK,17031,41.89715017,-87.6886933,1,536,PK,8,36
-87.63235661,41.51136474,85487,1.70996E+11,JEFFERSON ELEM SCHOOL,176 E 11TH ST,CHICAGO HEIGHTS,IL,60411,2937,275,COOK,17031,41.51136474,-87.63235661,1,256,KG,8,19
-87.7131259,41.97322238,85608,1.70993E+11,VON STEUBEN METRO SCIENCE HS,5039 N KIMBALL AVE,CHICAGO,IL,60625,4905,1781,COOK,17031,41.97322238,-87.7131259,3,1686,9,12,95
-87.72059755,41.95243374,85728,1.70993E+11,MARSHALL MIDDLE SCHOOL,3900 N LAWNDALE AVE,CHICAGO,IL,60618,3108,116,COOK,17031,41.95243374,-87.72059755,2,107,7,8,9
-87.6122799,41.80119434,86127,1.70993E+11,DYETT HIGH SCHOOL,555 E 51ST ST,CHICAGO,IL,60615,2452,16,COOK,17031,41.80119434,-87.6122799,3,13,12,12,3
-87.67273892,42.00741601,86128,1.70993E+11,NEW FIELD ELEM SCHOOL,1707 W MORSE AVE,CHICAGO,IL,60626,3203,630,COOK,17031,42.00741601,-87.67273892,1,594,PK,3,36
-87.66459411,41.90781537,86243,1.70993E+11,ROWE ELEMENTARY,1424 N CLEAVER ST,CHICAGO,IL,60642,2331,741,COOK,17031,41.90781537,-87.66459411,1,694,KG,7,47
-87.66325031,41.51090489,86408,1.70003E+11,SPEED PROGRAM FOR ADAPTIVE LEARN,1125 DIVISION ST,CHICAGO HEIGHTS,IL,60411,2419,202,COOK,17031,41.51090489,-87.66325031,4,181,4,12,21
-87.69979604,41.91481514,86445,1.70993E+11,YATES ELEM SCHOOL,1839 N RICHMOND ST,CHICAGO,IL,60647,5125,623,COOK,17031,41.91481514,-87.69979604,1,581,PK,8,42
-87.67064452,41.94539947,86567,1.70993E+11,HAMILTON ELEM SCHOOL,1650 W CORNELIA AVE,CHICAGO,IL,60657,1228,445,COOK,17031,41.94539947,-87.67064452,1,418,PK,8,27
-87.62468126,41.80478789,86601,1.70993E+11,WILLIAMS MEDICAL PREP HIGH SCH,4934 S WABASH AVE,CHICAGO,IL,60615,2115,309,COOK,17031,41.80478789,-87.62468126,3,290,9,12,19
-88.19153776,41.8567734,86687,1.74155E+11,CURRIER ELEMENTARY SCHOOL,800 GARYS MILL RD,WEST CHICAGO,IL,60185,4100,547,DUPAGE,17043,41.8567734,-88.19153776,1,518,KG,5,29
-87.74615839,41.8087198,86968,1.70993E+11,HEARST ELEM SCHOOL,4640 S LAMON AVE,CHICAGO,IL,60638,2044,338,COOK,17031,41.8087198,-87.7461584,1,318,PK,8,20
-87.65136126,41.94860345,87044,1.70993E+11,INTER-AMERICAN ELEM MAGNET SCHOOL,851 W WAVELAND AVE,CHICAGO,IL,60613,4301,690,COOK,17031,41.94860345,-87.65136126,1,652,PK,8,38
-87.62786371,41.87305509,87045,1.70993E+11,JONES COLLEGE PREP HIGH SCHOOL,700 S STATE ST,CHICAGO,IL,60605,2109,1502,COOK,17031,41.87305509,-87.62786371,3,1427,9,12,75
-87.67961539,41.69347927,87088,1.70993E+11,CLISSOLD ELEM SCHOOL,2350 W 110TH PL,CHICAGO,IL,60643,3993,577,COOK,17031,41.69347927,-87.67961539,1,545,KG,8,32
-87.64617593,41.77283094,72214,1.70993E+11,MAYS ELEM ACADEMY,6656 S NORMAL BLVD,CHICAGO,IL,60621,2558,508,COOK,17031,41.77283094,-87.64617593,1,477,PK,8,31
-87.67731434,41.88349276,72215,1.70993E+11,SUDER MONTESSORI ELEM MAGNET SCHL,2022 W WASHINGTON BLVD,CHICAGO,IL,60612,2429,435,COOK,17031,41.88349276,-87.67731434,1,411,PK,8,24
-87.64787053,41.85470041,72326,1.70993E+11,WALSH ELEM SCHOOL,2015 S PEORIA ST,CHICAGO,IL,60608,3432,471,COOK,17031,41.85470041,-87.64787054,1,443,PK,8,28
-87.68061853,41.92250988,72685,1.70993E+11,CHICAGO INTERNATIONAL CHARTER,11 E ADAMS ST STE 600,CHICAGO,IL,60603,6330,8847,COOK,17031,41.92250988,-87.68061853,4,8347,KG,12,500
-87.65816709,41.85570791,72928,1.70993E+11,PEREZ ELEM SCHOOL,1241 W 19TH ST,CHICAGO,IL,60608,3200,356,COOK,17031,41.85570791,-87.6581671,1,331,PK,8,25
-87.70028077,41.82222436,73004,1.70993E+11,DAVIS N ELEM SCHOOL,3014 W 39TH PL,CHICAGO,IL,60632,2402,940,COOK,17031,41.82222436,-87.70028077,1,896,PK,8,44
-87.62906668,41.90017336,73005,1.70993E+11,OGDEN ELEM SCHOOL,24 W WALTON ST,CHICAGO,IL,60610,3304,856,COOK,17031,41.90017336,-87.62906668,1,856,PK,5,-1
-87.71455173,41.96498933,79445,1.70993E+11,ROOSEVELT HIGH SCHOOL,3436 W WILSON AVE,CHICAGO,IL,60625,5318,1430,COOK,17031,41.96498933,-87.71455173,3,1341,9,12,89
-87.77036792,41.93518416,79482,1.70993E+11,CAMRAS ELEM SCHOOL,3000 N MANGO AVE,CHICAGO,IL,60634,5216,1055,COOK,17031,41.93518416,-87.77036792,1,1003,PK,8,52
-87.66411883,41.9622832,79604,1.70993E+11,COURTENAY ELEM LANGUAGE ARTS CTR,4420 N BEACON ST,CHICAGO,IL,60640,5732,599,COOK,17031,41.9622832,-87.66411883,1,554,PK,8,45
-87.60229291,41.79851569,79644,1.70993E+11,KOZMINSKI ELEM COMMUNITY ACADEMY,936 E 54TH ST,CHICAGO,IL,60615,5074,375,COOK,17031,41.79851569,-87.60229291,1,358,PK,8,17
-87.6967855,42.01534889,79727,1.70993E+11,ROGERS ELEM SCHOOL,7345 N WASHTENAW AVE,CHICAGO,IL,60645,1429,798,COOK,17031,42.01534889,-87.69678551,1,754,PK,8,44
-87.68402745,41.95546145,79844,1.70993E+11,COONLEY ELEM SCHOOL,4046 N LEAVITT ST,CHICAGO,IL,60618,2922,877,COOK,17031,41.95546145,-87.68402745,1,830,KG,8,47
-87.68544045,41.9057004,79886,1.70993E+11,DE DIEGO ELEM COMMUNITY ACADEMY,1313 N CLAREMONT AVE,CHICAGO,IL,60622,2910,812,COOK,17031,41.9057004,-87.68544045,1,767,PK,8,45
-87.70828222,41.84956216,79887,1.70993E+11,FARRAGUT CAREER ACADEMY HS,2345 S CHRISTIANA AVE,CHICAGO,IL,60623,3217,1038,COOK,17031,41.84956216,-87.70828222,3,969,9,12,69
-87.70541603,41.69617687,80008,1.70993E+11,MOUNT GREENWOOD ELEM SCHOOL,10841 S HOMAN AVE,CHICAGO,IL,60655,2611,1109,COOK,17031,41.69617687,-87.70541603,1,1059,KG,8,50
-87.684111,41.84564,80009,1.70993E+11,IJLA CHARTER HIGH SCHOOL,2570 S BLUE ISLAND AVE,CHICAGO,IL,60608,4817,242,COOK,17031,41.84564,-87.684111,3,229,9,12,13
-87.60192878,41.75395421,80163,1.70993E+11,HIRSCH METROPOLITAN HIGH SCHOOL,7740 S INGLESIDE AVE,CHICAGO,IL,60619,3207,218,COOK,17031,41.75395421,-87.60192878,3,200,9,12,18
-87.63388292,41.81594429,81249,1.70993E+11,HENDRICKS ELEM COMMUNITY ACADEMY,4316 S PRINCETON AVE,CHICAGO,IL,60609,3643,278,COOK,17031,41.81594429,-87.63388292,1,260,PK,8,18
-87.65327477,41.76533902,81366,1.70993E+11,BOND ELEM SCHOOL,7050 S MAY ST,CHICAGO,IL,60621,1114,382,COOK,17031,41.76533902,-87.65327477,1,359,PK,8,23
-87.66929742,41.92911451,81528,1.70993E+11,PRESCOTT ELEM SCHOOL,1632 W WRIGHTWOOD AVE,CHICAGO,IL,60614,2268,342,COOK,17031,41.92911451,-87.66929742,1,323,PK,8,19
-87.70534135,41.84157608,81601,1.70993E+11,MADERO MIDDLE SCHOOL,3202 W 28TH ST,CHICAGO,IL,60623,4708,341,COOK,17031,41.84157608,-87.70534135,2,323,6,8,18
-87.57581074,41.76144284,81807,1.70993E+11,BOUCHET ELEM MATH & SCIENCE ACAD,7355 S JEFFERY BLVD,CHICAGO,IL,60649,3121,701,COOK,17031,41.76144284,-87.57581074,1,661,PK,8,40
-87.69778382,41.84860724,81808,1.70993E+11,SPRY COMMUNITY LINKS HIGH SCHOOL,2400 S MARSHALL BLVD,CHICAGO,IL,60623,4146,196,COOK,17031,41.84860724,-87.69778382,3,179,9,12,17
-87.5984575,41.81117107,81927,1.70993E+11,ARIEL ELEM COMMUNITY ACADEMY,1119 E 46TH ST,CHICAGO,IL,60653,4403,577,COOK,17031,41.81117107,-87.5984575,1,545,PK,8,32
-87.70354621,41.86188381,82088,1.70993E+11,JOHNSON ELEM SCHOOL,1420 S ALBANY AVE,CHICAGO,IL,60623,2205,419,COOK,17031,41.86188381,-87.70354621,1,396,PK,8,23
-87.60912092,41.77631991,82328,1.70993E+11,TILL ELEM MATH & SCIENCE ACADEMY,6543 S CHAMPLAIN AVE,CHICAGO,IL,60637,3441,408,COOK,17031,41.77631991,-87.60912092,1,384,PK,8,24
