"B19301B_001E","B19301B_001M","GEO_ID","NAME"
"Estimate!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"-","**","8600000US61013","ZCTA5 61013"
"-","**","8600000US61014","ZCTA5 61014"
"-","**","8600000US61015","ZCTA5 61015"
"17220","3740","8600000US61016","ZCTA5 61016"
"-","**","8600000US61018","ZCTA5 61018"
"-","**","8600000US61019","ZCTA5 61019"
"null","null","8600000US61020","ZCTA5 61020"
"4796","3463","8600000US61021","ZCTA5 61021"
"6680","7794","8600000US61024","ZCTA5 61024"
"11650","3191","8600000US61025","ZCTA5 61025"
"null","null","8600000US61027","ZCTA5 61027"
"16357","10950","8600000US61028","ZCTA5 61028"
"null","null","8600000US61030","ZCTA5 61030"
"null","null","8600000US61031","ZCTA5 61031"
"14995","2098","8600000US61032","ZCTA5 61032"
"null","null","8600000US61036","ZCTA5 61036"
"-","**","8600000US61037","ZCTA5 61037"
"-","**","8600000US61038","ZCTA5 61038"
"-","**","8600000US61039","ZCTA5 61039"
"null","null","8600000US61041","ZCTA5 61041"
"null","null","8600000US61042","ZCTA5 61042"
"-","**","8600000US61043","ZCTA5 61043"
"-","**","8600000US61044","ZCTA5 61044"
"32069","22387","8600000US61046","ZCTA5 61046"
"null","null","8600000US61047","ZCTA5 61047"
"null","null","8600000US61048","ZCTA5 61048"
"-","**","8600000US61049","ZCTA5 61049"
"-","**","8600000US61050","ZCTA5 61050"
"null","null","8600000US61051","ZCTA5 61051"
"-","**","8600000US61052","ZCTA5 61052"
"28866","27832","8600000US61053","ZCTA5 61053"
"null","null","8600000US61054","ZCTA5 61054"
"null","null","8600000US61057","ZCTA5 61057"
"-","**","8600000US61059","ZCTA5 61059"
"-","**","8600000US61060","ZCTA5 61060"
"null","null","8600000US61061","ZCTA5 61061"
"null","null","8600000US61062","ZCTA5 61062"
"null","null","8600000US61063","ZCTA5 61063"
"null","null","8600000US61064","ZCTA5 61064"
"22898","5055","8600000US61065","ZCTA5 61065"
"-","**","8600000US61067","ZCTA5 61067"
"16865","19658","8600000US61068","ZCTA5 61068"
"-","**","8600000US61070","ZCTA5 61070"
"7250","7129","8600000US61071","ZCTA5 61071"
"7545","6542","8600000US61072","ZCTA5 61072"
"19665","9662","8600000US61073","ZCTA5 61073"
"7344","4151","8600000US61074","ZCTA5 61074"
"null","null","8600000US61075","ZCTA5 61075"
"-","**","8600000US61077","ZCTA5 61077"
"null","null","8600000US61078","ZCTA5 61078"
"-","**","8600000US61079","ZCTA5 61079"
"12683","7931","8600000US61080","ZCTA5 61080"
"29881","13600","8600000US61081","ZCTA5 61081"
"44055","5923","8600000US61084","ZCTA5 61084"
"null","null","8600000US61085","ZCTA5 61085"
"null","null","8600000US61087","ZCTA5 61087"
"45186","34649","8600000US61088","ZCTA5 61088"
"-","**","8600000US61089","ZCTA5 61089"
"-","**","8600000US61091","ZCTA5 61091"
"14369","2371","8600000US61101","ZCTA5 61101"
"16677","3655","8600000US61102","ZCTA5 61102"
"19828","7131","8600000US61103","ZCTA5 61103"
"9343","1961","8600000US61104","ZCTA5 61104"
"31486","7437","8600000US61107","ZCTA5 61107"
"31258","9749","8600000US61108","ZCTA5 61108"
"18055","4533","8600000US61109","ZCTA5 61109"
"24303","10513","8600000US61111","ZCTA5 61111"
"null","null","8600000US61112","ZCTA5 61112"
"31726","6727","8600000US61114","ZCTA5 61114"
"15722","16004","8600000US61115","ZCTA5 61115"
"15362","2379","8600000US61201","ZCTA5 61201"
"-","**","8600000US61230","ZCTA5 61230"
"5434","4378","8600000US61231","ZCTA5 61231"
"null","null","8600000US61232","ZCTA5 61232"
"9900","6121","8600000US61234","ZCTA5 61234"
"-","**","8600000US61235","ZCTA5 61235"
"-","**","8600000US61236","ZCTA5 61236"
"3450","3250","8600000US61238","ZCTA5 61238"
"12795","7791","8600000US61239","ZCTA5 61239"
"10790","4772","8600000US61240","ZCTA5 61240"
"8426","9009","8600000US61241","ZCTA5 61241"
"null","null","8600000US61242","ZCTA5 61242"
"-","**","8600000US61243","ZCTA5 61243"
"17225","3650","8600000US61244","ZCTA5 61244"
"-","**","8600000US61250","ZCTA5 61250"
"-","**","8600000US61251","ZCTA5 61251"
"null","null","8600000US61252","ZCTA5 61252"
"null","null","8600000US61254","ZCTA5 61254"
"41881","17028","8600000US61256","ZCTA5 61256"
"null","null","8600000US61257","ZCTA5 61257"
"-","**","8600000US61258","ZCTA5 61258"
"-","**","8600000US61259","ZCTA5 61259"
"-","**","8600000US61260","ZCTA5 61260"
"-","**","8600000US61261","ZCTA5 61261"
"-","**","8600000US61262","ZCTA5 61262"
"null","null","8600000US61263","ZCTA5 61263"
"19118","6984","8600000US61264","ZCTA5 61264"
"18397","4035","8600000US61265","ZCTA5 61265"
"6873","7469","8600000US61270","ZCTA5 61270"
"-","**","8600000US61272","ZCTA5 61272"
"null","null","8600000US61273","ZCTA5 61273"
"-","**","8600000US61274","ZCTA5 61274"
"18191","10555","8600000US61275","ZCTA5 61275"
"-","**","8600000US61276","ZCTA5 61276"
"8553","4711","8600000US61277","ZCTA5 61277"
"null","null","8600000US61278","ZCTA5 61278"
"null","null","8600000US61279","ZCTA5 61279"
"-","**","8600000US61281","ZCTA5 61281"
"37930","14307","8600000US61282","ZCTA5 61282"
"null","null","8600000US61283","ZCTA5 61283"
"null","null","8600000US61284","ZCTA5 61284"
"null","null","8600000US61285","ZCTA5 61285"
"5440","7798","8600000US61301","ZCTA5 61301"
"null","null","8600000US61310","ZCTA5 61310"
"-","**","8600000US61311","ZCTA5 61311"
"-","**","8600000US61312","ZCTA5 61312"
"-","**","8600000US61313","ZCTA5 61313"
"-","**","8600000US61314","ZCTA5 61314"
"-","**","8600000US61315","ZCTA5 61315"
"-","**","8600000US61316","ZCTA5 61316"
"-","**","8600000US61317","ZCTA5 61317"
"null","null","8600000US61318","ZCTA5 61318"
"-","**","8600000US61319","ZCTA5 61319"
