"B19301B_001E","B19301B_001M","GEO_ID","NAME"
"Estimate!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Per capita income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"94518","103792","1400000US17031040600","Census Tract 406, Cook County, Illinois"
"34784","19764","1400000US17031040700","Census Tract 407, Cook County, Illinois"
"15589","17749","1400000US17031040800","Census Tract 408, Cook County, Illinois"
"36821","35947","1400000US17031040900","Census Tract 409, Cook County, Illinois"
"30320","19780","1400000US17031050100","Census Tract 501, Cook County, Illinois"
"27710","28736","1400000US17031050200","Census Tract 502, Cook County, Illinois"
"null","null","1400000US17031050300","Census Tract 503, Cook County, Illinois"
"null","null","1400000US17031050500","Census Tract 505, Cook County, Illinois"
"-","**","1400000US17031050600","Census Tract 506, Cook County, Illinois"
"-","**","1400000US17031050700","Census Tract 507, Cook County, Illinois"
"72919","20407","1400000US17031050800","Census Tract 508, Cook County, Illinois"
"83247","53114","1400000US17031050900","Census Tract 509, Cook County, Illinois"
"28975","33426","1400000US17031051000","Census Tract 510, Cook County, Illinois"
"null","null","1400000US17031051100","Census Tract 511, Cook County, Illinois"
"15984","11931","1400000US17031051200","Census Tract 512, Cook County, Illinois"
"93381","20216","1400000US17031051300","Census Tract 513, Cook County, Illinois"
"35307","35892","1400000US17031051400","Census Tract 514, Cook County, Illinois"
"53117","5036","1400000US17031060100","Census Tract 601, Cook County, Illinois"
"48426","14066","1400000US17031060200","Census Tract 602, Cook County, Illinois"
"null","null","1400000US17031060300","Census Tract 603, Cook County, Illinois"
"null","null","1400000US17031060400","Census Tract 604, Cook County, Illinois"
"null","null","1400000US17031060500","Census Tract 605, Cook County, Illinois"
"52053","29423","1400000US17031060800","Census Tract 608, Cook County, Illinois"
"46380","25120","1400000US17031060900","Census Tract 609, Cook County, Illinois"
"32014","34993","1400000US17031061000","Census Tract 610, Cook County, Illinois"
"53327","27912","1400000US17031061100","Census Tract 611, Cook County, Illinois"
"27271","14753","1400000US17031061200","Census Tract 612, Cook County, Illinois"
"27260","21841","1400000US17031061500","Census Tract 615, Cook County, Illinois"
"33454","8892","1400000US17031061800","Census Tract 618, Cook County, Illinois"
"22150","17165","1400000US17031061901","Census Tract 619.01, Cook County, Illinois"
"59793","28482","1400000US17031061902","Census Tract 619.02, Cook County, Illinois"
"63307","30283","1400000US17031062000","Census Tract 620, Cook County, Illinois"
"36422","23888","1400000US17031062100","Census Tract 621, Cook County, Illinois"
"null","null","1400000US17031062200","Census Tract 622, Cook County, Illinois"
"34571","21263","1400000US17031062300","Census Tract 623, Cook County, Illinois"
"58674","27270","1400000US17031062400","Census Tract 624, Cook County, Illinois"
"null","null","1400000US17031062500","Census Tract 625, Cook County, Illinois"
"71487","24960","1400000US17031062600","Census Tract 626, Cook County, Illinois"
"null","null","1400000US17031062700","Census Tract 627, Cook County, Illinois"
"82153","67062","1400000US17031062800","Census Tract 628, Cook County, Illinois"
"21188","10768","1400000US17031062900","Census Tract 629, Cook County, Illinois"
"75387","27806","1400000US17031063000","Census Tract 630, Cook County, Illinois"
"-","**","1400000US17031063100","Census Tract 631, Cook County, Illinois"
"74860","50284","1400000US17031063200","Census Tract 632, Cook County, Illinois"
"66464","61620","1400000US17031063301","Census Tract 633.01, Cook County, Illinois"
"65940","16122","1400000US17031063302","Census Tract 633.02, Cook County, Illinois"
"-","**","1400000US17031063303","Census Tract 633.03, Cook County, Illinois"
"49930","22003","1400000US17031063400","Census Tract 634, Cook County, Illinois"
"null","null","1400000US17031070101","Census Tract 701.01, Cook County, Illinois"
"43151","27204","1400000US17031070102","Census Tract 701.02, Cook County, Illinois"
"null","null","1400000US17031070103","Census Tract 701.03, Cook County, Illinois"
"50952","32155","1400000US17031070200","Census Tract 702, Cook County, Illinois"
"null","null","1400000US17031070300","Census Tract 703, Cook County, Illinois"
"16819","5564","1400000US17031070400","Census Tract 704, Cook County, Illinois"
"13979","4483","1400000US17031070500","Census Tract 705, Cook County, Illinois"
"null","null","1400000US17031070600","Census Tract 706, Cook County, Illinois"
"40095","10862","1400000US17031070700","Census Tract 707, Cook County, Illinois"
"60420","64059","1400000US17031071000","Census Tract 710, Cook County, Illinois"
"17602","28563","1400000US17031071100","Census Tract 711, Cook County, Illinois"
"47048","17405","1400000US17031071200","Census Tract 712, Cook County, Illinois"
"52091","31160","1400000US17031071300","Census Tract 713, Cook County, Illinois"
"27992","24044","1400000US17031071400","Census Tract 714, Cook County, Illinois"
"77646","21598","1400000US17031071500","Census Tract 715, Cook County, Illinois"
"25879","5590","1400000US17031071600","Census Tract 716, Cook County, Illinois"
"51786","21179","1400000US17031071700","Census Tract 717, Cook County, Illinois"
"24325","11062","1400000US17031071800","Census Tract 718, Cook County, Illinois"
"190127","105533","1400000US17031080100","Census Tract 801, Cook County, Illinois"
"67706","48201","1400000US17031080201","Census Tract 802.01, Cook County, Illinois"
"132826","130842","1400000US17031080202","Census Tract 802.02, Cook County, Illinois"
"231992","203595","1400000US17031080300","Census Tract 803, Cook County, Illinois"
"17340","8152","1400000US17031080400","Census Tract 804, Cook County, Illinois"
"26674","12831","1400000US17031081000","Census Tract 810, Cook County, Illinois"
"36027","25668","1400000US17031081100","Census Tract 811, Cook County, Illinois"
"79990","86933","1400000US17031081201","Census Tract 812.01, Cook County, Illinois"
"192995","232394","1400000US17031081202","Census Tract 812.02, Cook County, Illinois"
"48695","23263","1400000US17031081300","Census Tract 813, Cook County, Illinois"
"50473","31976","1400000US17031081401","Census Tract 814.01, Cook County, Illinois"
"58856","34797","1400000US17031081402","Census Tract 814.02, Cook County, Illinois"
"34880","13943","1400000US17031081403","Census Tract 814.03, Cook County, Illinois"
"714873","466013","1400000US17031081500","Census Tract 815, Cook County, Illinois"
"340385","270272","1400000US17031081600","Census Tract 816, Cook County, Illinois"
"46475","18524","1400000US17031081700","Census Tract 817, Cook County, Illinois"
"84194","54680","1400000US17031081800","Census Tract 818, Cook County, Illinois"
"10001","4855","1400000US17031081900","Census Tract 819, Cook County, Illinois"
"44367","17779","1400000US17031090100","Census Tract 901, Cook County, Illinois"
"null","null","1400000US17031090200","Census Tract 902, Cook County, Illinois"
"-","**","1400000US17031090300","Census Tract 903, Cook County, Illinois"
"-","**","1400000US17031100100","Census Tract 1001, Cook County, Illinois"
"8774","13661","1400000US17031100200","Census Tract 1002, Cook County, Illinois"
"33614","15197","1400000US17031100300","Census Tract 1003, Cook County, Illinois"
"null","null","1400000US17031100400","Census Tract 1004, Cook County, Illinois"
"null","null","1400000US17031100500","Census Tract 1005, Cook County, Illinois"
"null","null","1400000US17031100600","Census Tract 1006, Cook County, Illinois"
"null","null","1400000US17031100700","Census Tract 1007, Cook County, Illinois"
"25950","11135","1400000US17031110100","Census Tract 1101, Cook County, Illinois"
"8439","12010","1400000US17031110200","Census Tract 1102, Cook County, Illinois"
"null","null","1400000US17031110300","Census Tract 1103, Cook County, Illinois"
"null","null","1400000US17031110400","Census Tract 1104, Cook County, Illinois"
"56040","6802","1400000US17031110501","Census Tract 1105.01, Cook County, Illinois"
"35295","11965","1400000US17031110502","Census Tract 1105.02, Cook County, Illinois"
"null","null","1400000US17031120100","Census Tract 1201, Cook County, Illinois"
"null","null","1400000US17031120200","Census Tract 1202, Cook County, Illinois"
"null","null","1400000US17031120300","Census Tract 1203, Cook County, Illinois"
"null","null","1400000US17031120400","Census Tract 1204, Cook County, Illinois"
"11876","10834","1400000US17031130100","Census Tract 1301, Cook County, Illinois"
"null","null","1400000US17031130200","Census Tract 1302, Cook County, Illinois"
"29139","28623","1400000US17031130300","Census Tract 1303, Cook County, Illinois"
"24158","14718","1400000US17031140100","Census Tract 1401, Cook County, Illinois"
"20902","8590","1400000US17031140200","Census Tract 1402, Cook County, Illinois"
"18392","9109","1400000US17031140301","Census Tract 1403.01, Cook County, Illinois"
"26264","11354","1400000US17031140302","Census Tract 1403.02, Cook County, Illinois"
"73718","32926","1400000US17031140400","Census Tract 1404, Cook County, Illinois"
"33058","13533","1400000US17031140500","Census Tract 1405, Cook County, Illinois"
"31413","31299","1400000US17031140601","Census Tract 1406.01, Cook County, Illinois"
"18969","8778","1400000US17031140602","Census Tract 1406.02, Cook County, Illinois"
"42486","21470","1400000US17031140701","Census Tract 1407.01, Cook County, Illinois"
"11077","4211","1400000US17031140702","Census Tract 1407.02, Cook County, Illinois"
"28658","20961","1400000US17031140800","Census Tract 1408, Cook County, Illinois"
"40614","21765","1400000US17031150200","Census Tract 1502, Cook County, Illinois"
"51077","51428","1400000US17031150300","Census Tract 1503, Cook County, Illinois"
"23932","18656","1400000US17031150401","Census Tract 1504.01, Cook County, Illinois"
"40310","17122","1400000US17031150402","Census Tract 1504.02, Cook County, Illinois"
"null","null","1400000US17031150501","Census Tract 1505.01, Cook County, Illinois"
"18935","5962","1400000US17031150502","Census Tract 1505.02, Cook County, Illinois"
"15042","9446","1400000US17031150600","Census Tract 1506, Cook County, Illinois"
"22807","12860","1400000US17031150700","Census Tract 1507, Cook County, Illinois"
"20563","8285","1400000US17031150800","Census Tract 1508, Cook County, Illinois"
"23432","11594","1400000US17031151001","Census Tract 1510.01, Cook County, Illinois"
"24902","14148","1400000US17031151002","Census Tract 1510.02, Cook County, Illinois"
"50524","39143","1400000US17031151100","Census Tract 1511, Cook County, Illinois"
"68752","22848","1400000US17031151200","Census Tract 1512, Cook County, Illinois"
"-","**","1400000US17031160100","Census Tract 1601, Cook County, Illinois"
"9507","3525","1400000US17031160200","Census Tract 1602, Cook County, Illinois"
"43405","15360","1400000US17031160300","Census Tract 1603, Cook County, Illinois"
"34559","25503","1400000US17031160400","Census Tract 1604, Cook County, Illinois"
"38275","27963","1400000US17031160501","Census Tract 1605.01, Cook County, Illinois"
"32175","18383","1400000US17031160502","Census Tract 1605.02, Cook County, Illinois"
"41704","14275","1400000US17031160601","Census Tract 1606.01, Cook County, Illinois"
"34799","8478","1400000US17031160602","Census Tract 1606.02, Cook County, Illinois"
"31968","29704","1400000US17031160700","Census Tract 1607, Cook County, Illinois"
"73905","508521","1400000US17031160800","Census Tract 1608, Cook County, Illinois"
"64575","36611","1400000US17031160900","Census Tract 1609, Cook County, Illinois"
"20438","5048","1400000US17031161000","Census Tract 1610, Cook County, Illinois"
"118216","53284","1400000US17031161100","Census Tract 1611, Cook County, Illinois"
"11100","16230","1400000US17031161200","Census Tract 1612, Cook County, Illinois"
"72265","33348","1400000US17031161300","Census Tract 1613, Cook County, Illinois"
"49061","90689","1400000US17031170100","Census Tract 1701, Cook County, Illinois"
"null","null","1400000US17031170200","Census Tract 1702, Cook County, Illinois"
"null","null","1400000US17031170300","Census Tract 1703, Cook County, Illinois"
"27885","21290","1400000US17031170400","Census Tract 1704, Cook County, Illinois"
"-","**","1400000US17031170500","Census Tract 1705, Cook County, Illinois"
"null","null","1400000US17031170600","Census Tract 1706, Cook County, Illinois"
"-","**","1400000US17031170700","Census Tract 1707, Cook County, Illinois"
"6137","3568","1400000US17031170800","Census Tract 1708, Cook County, Illinois"
"null","null","1400000US17031170900","Census Tract 1709, Cook County, Illinois"
"45421","19890","1400000US17031171000","Census Tract 1710, Cook County, Illinois"
"45887","40067","1400000US17031171100","Census Tract 1711, Cook County, Illinois"
"19529","15090","1400000US17031180100","Census Tract 1801, Cook County, Illinois"
"29272","11200","1400000US17031190100","Census Tract 1901, Cook County, Illinois"
"20427","8857","1400000US17031190200","Census Tract 1902, Cook County, Illinois"
"35976","20882","1400000US17031190300","Census Tract 1903, Cook County, Illinois"
"34404","2896","1400000US17031190401","Census Tract 1904.01, Cook County, Illinois"
"26529","1735","1400000US17031190402","Census Tract 1904.02, Cook County, Illinois"
"25757","9561","1400000US17031190601","Census Tract 1906.01, Cook County, Illinois"
"9663","6036","1400000US17031190602","Census Tract 1906.02, Cook County, Illinois"
"21593","7456","1400000US17031190701","Census Tract 1907.01, Cook County, Illinois"
"34985","34458","1400000US17031190702","Census Tract 1907.02, Cook County, Illinois"
"12039","9996","1400000US17031190800","Census Tract 1908, Cook County, Illinois"
"28851","18067","1400000US17031190900","Census Tract 1909, Cook County, Illinois"
"27512","18063","1400000US17031191000","Census Tract 1910, Cook County, Illinois"
"43847","22249","1400000US17031191100","Census Tract 1911, Cook County, Illinois"
"36840","25176","1400000US17031191200","Census Tract 1912, Cook County, Illinois"
"39351","22464","1400000US17031191301","Census Tract 1913.01, Cook County, Illinois"
"39242","13053","1400000US17031191302","Census Tract 1913.02, Cook County, Illinois"
"13894","2732","1400000US17031200100","Census Tract 2001, Cook County, Illinois"
"19951","17291","1400000US17031200200","Census Tract 2002, Cook County, Illinois"
"20953","5607","1400000US17031200300","Census Tract 2003, Cook County, Illinois"
"23673","5141","1400000US17031200401","Census Tract 2004.01, Cook County, Illinois"
"43220","15689","1400000US17031200402","Census Tract 2004.02, Cook County, Illinois"
"68551","50554","1400000US17031210100","Census Tract 2101, Cook County, Illinois"
"41740","14156","1400000US17031210400","Census Tract 2104, Cook County, Illinois"
"25245","22547","1400000US17031210501","Census Tract 2105.01, Cook County, Illinois"
