zipcode,male,white,median_age
60609,0.50,0.44,32.3
60610,0.47,0.72,33.4
60611,0.47,0.75,38.9
60612,0.47,0.29,32.5
60613,0.51,0.82,33.6
60614,0.51,0.84,30.5
60615,0.45,0.31,35.3
60616,0.48,0.32,38
60617,0.45,0.37,36
60618,0.50,0.76,34.4
60619,0.45,0.02,40.9
60620,0.45,0.02,40.3
60621,0.47,0.02,34.6
60622,0.52,0.80,32
60623,0.50,0.38,31.3
60624,0.47,0.05,32.1
60625,0.49,0.65,34.9
60626,0.49,0.57,33.7
60628,0.47,0.05,39.2
60629,0.49,0.44,31.2
60630,0.49,0.71,40.5
60631,0.49,0.88,43.2
60632,0.51,0.53,30.9
60633,0.52,0.69,39.6
60634,0.48,0.77,39.7
60636,0.46,0.06,41.3
60637,0.44,0.17,30.6
60638,0.50,0.74,37.8
60639,0.50,0.47,34
60640,0.52,0.65,36.8
60641,0.49,0.67,36.9
60642,0.52,0.74,31.6
60643,0.45,0.23,43.6
60644,0.47,0.06,35.1
60645,0.50,0.55,35.6
60646,0.46,0.85,43.6
60647,0.51,0.78,32
60649,0.43,0.04,37.3
60651,0.46,0.20,33.5
60652,0.47,0.29,36.2
60653,0.43,0.06,34.4
60654,0.50,0.76,33.2
60655,0.49,0.90,39
60656,0.51,0.83,40.1
60657,0.50,0.86,31.2
60659,0.50,0.52,34.8
60660,0.51,0.65,36.2
60661,0.50,0.64,31.5
60706,0.49,0.89,45.9
60707,0.48,0.72,40.5
60712,0.48,0.63,46.6
60714,0.48,0.73,48.4
60803,0.50,0.69,36.9
60804,0.50,0.34,30.5
60805,0.44,0.67,39.9
60827,0.44,0.07,32.3
60901,0.48,0.63,36.8
60910,0.50,0.97,41.9
60911,0.52,0.99,43.4
60912,0.53,0.92,49.1
60913,0.50,0.93,55.6
60914,0.47,0.86,34.5
60915,0.48,0.90,35.3
60917,0.51,0.99,37
60918,0.53,0.98,48.6
60919,0.49,1.00,48.5
60920,0.49,1.00,45.8
60921,0.51,0.92,42.5
60922,0.54,0.86,32.3
60924,0.50,0.97,48.6
60926,0.48,0.95,58.6
60927,0.48,0.97,47
60928,0.48,0.99,47.4
60929,0.44,0.96,35.2
60930,0.47,0.98,40.5
60931,0.51,0.90,38.4
60932,0.41,1.00,50.1
60933,0.52,1.00,47.6
60934,0.52,0.93,39.5
60935,0.53,0.95,38.3
60936,0.49,0.97,44.4
60938,0.49,0.81,41.8
60940,0.51,0.97,46.5
60941,0.52,0.94,40.2
60942,0.52,0.90,43.7
60945,0.47,0.80,45.9
60946,0.47,0.99,37.5
60948,0.52,0.95,46.2
60949,0.50,0.94,38.7
60950,0.53,0.94,44.3
60951,0.57,0.95,42.5
60952,0.50,0.97,38.2
60953,0.49,0.95,45.8
60954,0.55,0.85,38.7
60955,0.53,0.77,41.8
60957,0.49,0.93,42.1
60958,0.48,0.19,43.1
60959,0.49,0.93,50.7
60960,0.55,0.98,41.5
60961,0.54,0.95,39.3
60962,0.53,0.96,35.9
60963,0.48,0.97,36.8
60964,0.51,0.82,41.7
60966,0.49,0.92,46.1
60968,0.48,0.86,41
60969,0.65,1.00,24.5
60970,0.46,0.96,48.8
60973,0.46,0.95,34.9
60974,0.47,0.98,50.3
61001,0.51,0.97,54.4
61006,0.49,0.95,43.3
61007,0.63,0.99,43.5
61008,0.50,0.86,38.8
61010,0.47,0.96,39.3
61011,0.52,0.84,53
61012,0.51,0.94,35.2
61013,0.49,0.99,45.5
61014,0.49,0.98,49.1
61015,0.43,1.00,35.1
61016,0.51,0.94,51.6
61018,0.50,0.99,44.1
61019,0.49,0.98,47.7
61020,0.49,0.97,31.2
61021,0.55,0.88,42.4
61024,0.52,0.99,47.2
61025,0.54,0.98,43.2
61027,0.70,0.30,26.9
61028,0.51,0.98,51
61030,0.50,0.95,37.6
61031,0.48,0.91,43.8
61032,0.47,0.80,44.4
61036,0.49,0.98,57
61037,0.41,1.00,66.7
61038,0.52,1.00,47.9
61039,0.53,0.99,31.1
61041,0.45,0.92,42.6
61042,0.56,0.97,44.9
61043,0.49,0.94,30.8
61044,0.53,0.93,40.2
61046,0.48,0.97,53.3
61047,0.48,0.99,47.2
61048,0.53,0.99,51.9
61049,0.49,0.96,36.5
61050,0.52,1.00,49.1
61051,0.54,0.94,40.4
61052,0.53,0.99,55.1
61053,0.49,0.98,52.2
61054,0.47,0.98,46.6
61057,0.43,0.86,48.1
61059,0.41,0.96,31.1
61060,0.56,0.99,45.3
61061,0.50,0.97,53.7
61062,0.53,0.97,47.1
61063,0.53,0.96,38.8
61064,0.52,0.95,44.3
61065,0.51,0.89,35.9
61067,0.49,0.99,56.5
61068,0.51,0.88,38.4
61070,0.47,0.95,41.1
61071,0.50,0.95,42
61072,0.49,0.97,43.3
61073,0.51,0.93,40
61074,0.47,0.95,49.5
61075,0.52,0.97,49.1
61077,0.52,1.00,-
61078,0.49,0.97,41.8
61079,0.59,0.98,42.1
61080,0.48,0.90,36.5
61081,0.49,0.90,43
61084,0.48,0.97,46.4
61085,0.50,0.97,45.6
61087,0.49,0.95,48.4
61088,0.50,0.97,44.2
61089,0.51,1.00,38.7
61091,0.46,1.00,25.2
61101,0.49,0.56,34.6
61102,0.51,0.56,34.1
61103,0.47,0.70,43.6
61104,0.51,0.60,31.1
61107,0.47,0.81,42.7
61108,0.49,0.76,41.3
61109,0.48,0.77,36.6
61111,0.48,0.88,37.8
61112,0.11,1.00,86
61114,0.47,0.84,47.1
61115,0.50,0.91,40.6
61201,0.49,0.69,36
61230,0.48,0.99,48.6
61231,0.48,0.97,46.8
61232,0.50,0.96,47.5
61234,0.49,0.95,44.7
61235,0.46,0.97,40.5
61236,0.41,0.96,32.5
